"Shuai Zhang, Lina Yao, Aixin Sun, Sen Wang, Guodong Long, Manqing Dong",NeuRec: On Nonlinear Transformation for Personalized Ranking,The 27th International Joint Conference on Neural Networks (IJCAI 2018),"Stockholm, Sweden",Jul 13 - 19,2018,https://www.ijcai-18.org/
"Shuai Zhang, Lina Yao, Xiwei Xu, Sen Wang and Liming Zhu",Hybrid Collaborative Recommendation via Semi-AutoEncoder,The 24th International Conference On Neural Information Processing (ICONIP 2017),"Guangzhou, China",Nov 14 - 18,2017,http://www.iconip2017.org/
"Xiaodong Ning, Lina Yao, Xianzhi Wang and Boualem Benatallah",Calling for Response: Automatically Distinguishing Situation-aware Tweets During Crises,The 13rd International Conference on Advanced Data Mining and Applications (ADMA 2017),Singapore,Nov 5 - 6,2017,http://www.adma2017.net/
"Shuai Zhang, Lina Yao and Xiwei Xu",AutoSVD++: An Efficient Hybrid Collaborative Filtering Model via Contractive Auto-encoders,The 40th Annual ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR 2017),"Tokyo, Japan",Aug 7 - 11,2017,https://dl.acm.org/citation.cfm?id=3077136
"Chaoran Huang, Lina Yao, Xianzhi Wang, Boualem Benatallah and Quan Z. Sheng",Software Expert Recommendation via Knowledge Domain Embeddings in Stack Overflow,The 24th IEEE International Conference on Web Services (ICWS 2017),"Honolulu, Hawaii, USA",Jun 25 - 30,2017,http://icws.org/2017/
"Usama Salama, Lina Yao, Xianzhi Wang, Helen Paik and Amin Beheshti",Multi-Level Privacy-Preserving Access Control as a Service for Ambient Assisted Living,The 24th IEEE International Conference on Web Services (ICWS 2017),"Honolulu, Hawaii, USA",Jun 25 - 30,2017,http://icws.org/2017/
